,month,percent,monthly
0,3,0.04664,0.003887
1,6,0.05017,0.004181
2,9,0.05024,0.004187
3,12,0.05034,0.004195
4,18,0.05053,0.004211
5,24,0.05099,0.004249
6,30,0.05159,0.004299
7,36,0.0518,0.004317
8,48,0.05273,0.004394
9,60,0.05416,0.004513
10,84,0.05565,0.004638
11,120,0.06002,0.005002
12,0,0.0466,0.003887
13,1,0.0466,0.003887
14,2,0.0466,0.003887
15,4,0.0478,0.003985
16,5,0.049,0.004083
17,7,0.0502,0.004183
18,8,0.0502,0.004185
19,10,0.0503,0.004189
20,11,0.0503,0.004192
21,13,0.0504,0.004198
22,14,0.0504,0.0042
23,15,0.0504,0.004203
24,16,0.0505,0.004206
25,17,0.0505,0.004208
26,19,0.0506,0.004217
27,20,0.0507,0.004224
28,21,0.0508,0.00423
29,22,0.0508,0.004236
30,23,0.0509,0.004243
31,25,0.0511,0.004258
32,26,0.0512,0.004266
33,27,0.0513,0.004274
34,28,0.0514,0.004283
35,29,0.0515,0.004291
36,31,0.0516,0.004302
37,32,0.0517,0.004305
38,33,0.0517,0.004308
39,34,0.0517,0.004311
40,35,0.0518,0.004314
41,37,0.0519,0.004323
42,38,0.052,0.00433
43,39,0.052,0.004336
44,40,0.0521,0.004343
45,41,0.0522,0.004349
46,42,0.0523,0.004355
47,43,0.0523,0.004362
48,44,0.0524,0.004368
49,45,0.0525,0.004375
50,46,0.0526,0.004381
51,47,0.0527,0.004388
52,49,0.0528,0.004404
53,50,0.053,0.004414
54,51,0.0531,0.004424
55,52,0.0532,0.004434
56,53,0.0533,0.004444
57,54,0.0534,0.004454
58,55,0.0536,0.004464
59,56,0.0537,0.004474
60,57,0.0538,0.004484
61,58,0.0539,0.004493
62,59,0.054,0.004503
63,61,0.0542,0.004519
64,62,0.0543,0.004524
65,63,0.0543,0.004529
66,64,0.0544,0.004534
67,65,0.0545,0.004539
68,66,0.0545,0.004544
69,67,0.0546,0.00455
70,68,0.0547,0.004555
71,69,0.0547,0.00456
72,70,0.0548,0.004565
73,71,0.0548,0.00457
74,72,0.0549,0.004575
75,73,0.055,0.004581
76,74,0.055,0.004586
77,75,0.0551,0.004591
78,76,0.0552,0.004596
79,77,0.0552,0.004601
80,78,0.0553,0.004606
81,79,0.0553,0.004612
82,80,0.0554,0.004617
83,81,0.0555,0.004622
84,82,0.0555,0.004627
85,83,0.0556,0.004632
86,85,0.0558,0.004648
87,86,0.0559,0.004658
88,87,0.056,0.004668
89,88,0.0561,0.004678
90,89,0.0563,0.004688
91,90,0.0564,0.004698
92,91,0.0565,0.004708
93,92,0.0566,0.004718
94,93,0.0567,0.004729
95,94,0.0569,0.004739
96,95,0.057,0.004749
97,96,0.0571,0.004759
98,97,0.0572,0.004769
99,98,0.0573,0.004779
100,99,0.0575,0.004789
101,100,0.0576,0.004799
102,101,0.0577,0.004809
103,102,0.0578,0.00482
104,103,0.058,0.00483
105,104,0.0581,0.00484
106,105,0.0582,0.00485
107,106,0.0583,0.00486
108,107,0.0584,0.00487
109,108,0.0586,0.00488
110,109,0.0587,0.00489
111,110,0.0588,0.004901
112,111,0.0589,0.004911
113,112,0.059,0.004921
114,113,0.0592,0.004931
115,114,0.0593,0.004941
116,115,0.0594,0.004951
117,116,0.0595,0.004961
118,117,0.0597,0.004971
119,118,0.0598,0.004981
120,119,0.0599,0.004992
